type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
item;irons_spellbooks:arcane_debris;Arkaner Schrott;6;;;;100
item;irons_spellbooks:arcane_essence;Arkane Essenz;48;;;;100
item;aquaculture:driftwood;Treibholz;8;;;;30
item;aquaculture:tin_can;Blechdose;8;;;;30
item;aquaculture:box;Box;6;;;;30
item;aquaculture:lockbox;Schließfach;4;;;;20
item;aquaculture:treasure_chest;Schatztruhe;2;;;;10
item;aquaculture:message_in_a_bottle;Flaschenpost;8;;;;20
item;aquaculture:algae;Algen;16;;;;30
item;aquaculture:fish_bones;Gräten;8;;;;30
item;aquaculture:atlantic_cod;Atlantischer Kabeljau;8;;;;25
item;aquaculture:blackfish;Schwarzfisch;8;;;;25
item;aquaculture:pacific_halibut;Pazifischer Heilbutt;8;;;;25
item;aquaculture:atlantic_halibut;Atlantischer Heilbutt;8;;;;25
item;aquaculture:atlantic_herring;Atlantischer Hering;8;;;;25
item;aquaculture:pink_salmon;Buckellachs;8;;;;25
item;aquaculture:pollock;Pollock;8;;;;25
item;aquaculture:rainbow_trout;Regenbogenforelle;8;;;;25
item;aquaculture:boulti;Boulti;8;;;;25
item;aquaculture:capitaine;Capitaine;8;;;;25
item;aquaculture:synodontis;Synodontie;8;;;;25
item;aquaculture:smallmouth_bass;Schwarzbarsch;8;;;;25
item;aquaculture:bluegill;Bluegill;8;;;;25
item;aquaculture:brown_trout;Bachforelle;8;;;;25
item;aquaculture:carp;Karpfen;8;;;;25
item;aquaculture:catfish;Wels;8;;;;25
item;aquaculture:gar;Gar;8;;;;25
item;aquaculture:minnow;Elritze;8;;;;25
item;aquaculture:muskellunge;Muskellunge;8;;;;25
item;aquaculture:perch;Barsch;8;;;;25
item;aquaculture:arapaima;Arapaima;8;;;;25
item;aquaculture:piranha;Piranha;8;;;;25
item;aquaculture:tambaqui;Tambaqui;8;;;;25
item;aquaculture:jellyfish;Qualle;8;;;;25
item;aquaculture:red_grouper;Roter Zackenbarsch;8;;;;25
item;aquaculture:tuna;Thunfisch;8;;;;25
item;aquaculture:neptunium_ingot;Neptunium Barren;2;;;;100
item;#minecraft:boats;;;;;;
item;born_in_chaos_v1:corpse_maggot;Maden;64;;;;100
item;born_in_chaos_v1:ethereal_spirit;Seelen;32;;;;100
item;born_in_chaos_v1:dark_metal_ingot;Dunkelstahlbarren;3;;;;100
item;born_in_chaos_v1:armor_plate_from_dark_metal;Dunkelstahlplatte;1;;;;100
item;minecraft:dragon_breath;Drachenatem;32;;;;50
item;minecraft:rabbit_foot;Hasenfuß;4;;;;50
item;minecraft:echo_shard;Echo Scherbe;16;;;;50
item;minecraft:elytra;Elytra;1;;;;20
item;minecraft:totem_of_undying;Totem der Unsterblichkeit;2;;;;100
item;create:experience_nugget;Erfahrungsklumpen;256;;;;100
item;minecraft:dragon_head;Drachenkopf;1;;;;50
item;minecraft:rotten_flesh;Verottendes Fleisch;96;;;;150
item;minecraft:leather;Leder;64;;;;100
item;minecraft:feather;Feder;64;;;;100
item;minecraft:bone;Knochen;128;;;;100
item;minecraft:prismarine_shard;Prismarinscherbe;64;;;;100
item;minecraft:heart_of_the_sea;Herz des Meeres;1;;;;15
item;minecraft:nautilus_shell;Nautilusschale;1;;;;20
item;minecraft:netherite_upgrade_smithing_template;Schmiedevorlage;1;;;;20
item;minecraft:spider_eye;Spinnenauge;64;;;;100
item;minecraft:shulker_shell;Schulker;8;;;;25
item;minecraft:ghast_tear;Ghastträne;8;;;;25
item;#forge:ender_pearls;;;;;;
item;minecraft:name_tag;Nametag;4;;;;100
item;minecraft:phantom_membrane;Phantomhaut;8;;;;50
item;minecraft:nautilus_shell;Nautilusschale;2;;;;50
item;minecraft:oak_log;Eichenstamm;512;;;;300
item;minecraft:spruce_log;Fichtenstamm;1536;;;;300
item;minecraft:birch_log;Birkenstamm;512;;;;200
item;minecraft:jungle_log;Tropenbaumstamm;1024;;;;250
item;minecraft:acacia_log;Akazienstamm;512;;;;200
item;minecraft:dark_oak_log;Schwarzeichenstamm;1536;;;;150
item;minecraft:cherry_log;Kirschstamm;512;;;;150
item;minecraft:mangrove_log;Mangrovenstamm;512;;;;100
item;minecraft:crimson_stem;Karmesinstiel;256;;;;100
item;minecraft:warped_stem;Wirrstiel;256;;;;100
item;create:shaft;Welle;256;;;;100
item;create:cogwheel;Zahnrad;256;;;;100
item;create:large_cogwheel;Großes Zahnrad;192;;;;100
item;create:andesite_casing;Andesitgehäuse;64;;;;100
item;create:brass_casing;Messingrahmen;32;;;;100
item;create:railway_casing;Zugrahmen;12;;;;100
item;create:electron_tube;Elektronenröhre;24;;;;100
item;create:polished_rose_quartz;Rosenquartz;32;;;;100
item;minecraft:stone_bricks;Steinziegel;1024;;;;100
item;minecraft:ladder;Eichenleiter;512;;;;100
item;minecraft:barrel;Fass;128;;;;100
item;minecraft:chest;Truhe;128;;;;100
item;minecraft:anvil;Amboss;16;;;;100
item;minecraft:scaffolding;Gerüst;256;;;;100
item;minecraft:crafting_table;Werkbank;256;;;;100
item;minecraft:furnace;Ofen;256;;;;100
item;minecraft:rail;Schiene;512;;;;100
item;minecraft:sticky_piston;Klebriger Kolben;256;;;;100
item;minecraft:dispenser;Werfer;192;;;;100
item;minecraft:observer;Beobachter;192;;;;100
item;minecraft:daylight_detector;Tageslichtsensor;128;;;;100
item;create:gearbox;Getriebe;64;;;;100
item;create:precision_mechanism;Präzisionsgetriebe;32;;;;40
item;create:steam_whistle;Dampfpfeife;24;;;;100
item;create:propeller;Propeller;24;;;;100
item;create:whisk;Rührstab;24;;;;100
item;create:brass_hand;Messing Hand;16;;;;50
item;create_connected:control_chip;Control Chip;12;;;;40
item;minecraft:hopper;Trichter;32;;;;100
item;minecraft:comparator;Komparator;32;;;;100
item;minecraft:golden_carrot;Goldene Karotte;64;;;;100
item;minecraft:baked_potato;Ofenkartoffel;256;;;;100
item;minecraft:cooked_beef;Steak;64;;;;100
item;minecraft:cooked_porkchop;Gebratenes Schweinefleisch;64;;;;100
item;minecraft:cooked_mutton;Gebratenes Hammelfleisch;64;;;;100
item;minecraft:cooked_chicken;Gebratenes Hühnchen;64;;;;100
item;minecraft:cooked_rabbit;Gebratenes Kaninchen;64;;;;100
item;minecraft:cooked_cod;Gebratener Kabeljau;64;;;;100
item;minecraft:cooked_salmon;Gebratener Lachs;64;;;;100
item;minecraft:bread;Brot;128;;;;100
item;minecraft:cookie;Kekse;256;;;;100
item;minecraft:pumpkin_pie;Kürbiskuchen;64;;;;100
item;minecraft:apple;Apfel;96;;;;100
item;create:honeyed_apple;Honigapfel;16;;;;75
item;create:sweet_roll;Rosinenschnecke;16;;;;100
item;minecraft:chorus_fruit;Chorous Frucht;64;;;;50
item;minecraft:sugar;Zucker;64;;;;100
item;minecraft:wheat;Weizen;128;;;;200
item;minecraft:pumpkin;Kürbis;64;;;;200
item;minecraft:melon;Melone;64;;;;200
item;farmersdelight:cooked_mutton_chops;Gebratene Hammelkoteletts;64;;;;100
item;farmersdelight:cooked_bacon;Gebratener Speck;64;;;;100
item;farmersdelight:kelp_roll_slice;Sushi;32;;;;100
item;farmersdelight:hamburger;Hamburger;16;;;;75
item;farmersdelight:vegetable_noodles;Gemüsenudeln;16;;;;50
item;farmersdelight:shepherds_pie_block;Hirtenkuchen;16;;;;100
item;farmersdelight:rice_roll_medley_block;Gebratene Reisrollen;16;;;;100
item;croptopia:buttered_toast;Buttertoast;16;;;;100
item;croptopia:doughnut;Donut;16;;;;100
item;croptopia:fajitas;Fajitas;24;;;;90
item;croptopia:ratatouille;Ratatouille;12;;;;50
item;croptopia:sunny_side_eggs;Spiegelei;32;;;;100
item;croptopia:pizza;Pizza;16;;;;75
item;croptopia:beef_wellington;Beef Wellington;16;;;;60
item;minecraft:beetroot;Rote Beete;256;;;;200
item;minecraft:potato;Kartoffel;256;;;;200
item;minecraft:carrot;Karotte;256;;;;200
item;croptopia:orange;Orange;64;;;;100
item;croptopia:peach;Pfirsisch;64;;;;100
item;minecraft:cake;Kuchen;8;;;;100
item;minecraft:coarse_dirt;Grobe Erde;256;;;;100
item;minecraft:fern;Farn;128;;;;100
item;minecraft:grass;Grass;128;;;;100
item;minecraft:grass_block;Grassblock;512;;;;100
item;minecraft:dirt;Erde;1024;;;;100
item;minecraft:azalea_leaves;Azaleenlaub;128;;;;100
item;minecraft:flowering_azalea_leaves;Blühendes Azaleenlaub;64;;;;100
item;minecraft:poppy;Mohn;64;;;;100
item;minecraft:dandelion;Löwenzahn;64;;;;100
item;minecraft:glow_lichen;Leuchtflechten;128;;;;100
item;minecraft:moss_block;Moosblock;512;;;;100
item;minecraft:moss_carpet;Moosteppich;256;;;;100
item;minecraft:mossy_cobblestone;Bemooster Bruchstein;256;;;;100
item;minecraft:cobblestone;Bruchstein;2048;;;;250
item;minecraft:mossy_stone_bricks;Bemooste Steinziegel;256;;;;100
item;minecraft:cracked_stone_bricks;Rissige Steinziegel;256;;;;100
item;minecraft:big_dripleaf;Großes Tropfblad;64;;;;100
item;minecraft:small_dripleaf;Kleines Tropfblatt;64;;;;100
item;minecraft:vine;Ranken;128;;;;100
item;minecraft:oak_sapling;Eichensetzling;128;;;;100
item;minecraft:birch_sapling;Birkensetzling;128;;;;100
item;minecraft:spruce_sapling;Fichtensetzling;128;;;;100
item;minecraft:jungle_sapling;Tropensetzling;128;;;;100
item;minecraft:acacia_sapling;Akaziensetzling;128;;;;100
item;minecraft:dark_oak_sapling;Schwarzeichensetzling;128;;;;100
item;minecraft:cherry_sapling;Kirschsetzling;256;;;;100
item;minecraft:mangrove_propagule;Mangrovenkeimling;256;;;;100
item;minecraft:oak_leaves;Eichenlaub;256;;;;100
item;minecraft:birch_leaves;Birkenlaub;256;;;;100
item;minecraft:spruce_leaves;Fichtenlaub;256;;;;100
item;minecraft:jungle_leaves;Tropenbaumlaub;256;;;;100
item;minecraft:acacia_leaves;Akazienlaub;256;;;;100
item;minecraft:dark_oak_leaves;Schwarzeichenlaub;256;;;;100
item;minecraft:cherry_leaves;Kirschlaub;256;;;;100
item;minecraft:mangrove_leaves;Mangrovenlaub;256;;;;100
item;minecraft:azalea;Azalee;64;;;;100
item;minecraft:flowering_azalea;Blühende Azalee;64;;;;100
item;minecraft:lantern;Laterne;64;;;;100
item;minecraft:shroomlight;Pilzlicht;64;;;;75
item;irons_spellbooks:firefly_jar;Firefly Jar;16;;;;100
item;minecraft:flower_pot;Blumentopf;32;;;;100
item;minecraft:packed_mud;Fester Schlamm;256;;;;100
item;minecraft:lily_pad;Seerosenblatt;32;;;;100
item;minecraft:beacon;Leuchtfeuer;1;;;;20
item;minecraft:lodestone;Leitstein;2;;;;20
item;minecraft:end_crystal;Enderkristall;16;;;;50
item;minecraft:respawn_anchor;Seelenanker;8;;;;50
item;minecraft:enchanting_table;Verzauberungstisch;8;;;;75
item;minecraft:book;Buch;256;;;;100
item;minecraft:ender_chest;Endertruhe;10;;;;100
item;minecraft:calibrated_sculk_sensor;Kalibrierter Sculksensor;12;;;;50
item;minecraft:tnt;TNT;64;;;;100
item;minecraft:torch;Fackel;512;;;;100
item;minecraft:chain;Kette;192;;;;100
item;minecraft:candle;Kerze;128;;;;100
item;minecraft:cobblestone;Stein;2048;;;;250
item;minecraft:cobbled_deepslate;Tiefenschiefer;2048;;;;200
item;minecraft:sand;Sand;2048;;;;100
item;minecraft:sandstone;Sandstein;1024;;;;100
item;minecraft:red_sand;Roter Sand;512;;;;100
item;minecraft:terracotta;Terracotta;512;;;;100
item;minecraft:netherrack;Netherrack;2048;;;;100
item;minecraft:end_stone;Endstein;1024;;;;100
item;minecraft:soul_sand;Seelensand;512;;;;100
item;minecraft:dirt;Erde;2048;;;;250
item;minecraft:mud;Schlamm;512;;;;100
item;minecraft:rooted_dirt;Wurzelerde;32;;;;100
item;minecraft:tuff;Tuffstein;512;;;;100
item;minecraft:andesite;Andesite;1024;;;;100
item;minecraft:diorite;Diorit;1024;;;;100
item;minecraft:granite;Grannit;1024;;;;100
item;minecraft:basalt;Basalt;2048;;;;100
item;minecraft:gravel;Kies;2048;;;;200
item;minecraft:calcite;Kalzit;128;;;;100
item;minecraft:blackstone;Schwarzstein;512;;;;100
item;minecraft:gilded_blackstone;Golddurchzogener Schwarzstein;8;;;;100
item;minecraft:grass_block;Grassblock;512;;;;100
item;minecraft:obsidian;Obsidian;128;;;;100
item;minecraft:dripstone_block;Tropfstesinblock;64;;;;100
item;minecraft:pointed_dripstone;Spitzer Tropfstein;64;;;;100
item;minecraft:clay;Lehm;512;;;;100
item;minecraft:quartz;Netherquarz;128;;;;100
item;create:asurine;Asurin;512;;;;100
item;create:crimsite;Karmesit;512;;;;100
item;create:veridium;Veridium;512;;;;100
item;create:ochrum;Ockrum;512;;;;100
item;create:limestone;Kalkstein;512;;;;100
item;create:scoria;Schlacke;512;;;;100
item;create:scorchia;Scorchia;512;;;;100
item;minecraft:amethyst_block;Amethystblock;512;;;;100
item;minecraft:ancient_debris;Antiker Schrott;6;;;;100
item;minecraft:magma_block;Magmablock;256;;;;100
item;minecraft:sculk;Skulk;256;;;;100
item;minecraft:iron_ingot;Eisen;128;;;;350
item;minecraft:copper_ingot;Kupfer;192;;;;300
item;minecraft:gold_ingot;Gold;64;;;;250
item;minecraft:netherite_ingot;Netherit;1;;;;75
item;minecraft:coal;Kohle;128;;;;250
