type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
item;create:andesite_casing;Andesitgehäuse;64;;;;100
item;create:asurine;Asurin;512;;;;100
item;create:belt_connector;Förderband;32;;;;100
item;create:blaze_burner;Lohenbrenner;16;;;;75
item;create:brass_casing;Messingrahmen;32;;;;100
item;create:brass_hand;Messing Hand;16;;;;50
item;create:brass_ingot;Messing;64;;;;75
item;create:cogwheel;Zahnrad;256;;;;100
item;create:crimsite;Karmesit;512;;;;100
item;create:crushing_wheel;Mahlwerk;8;;;;80
item;create:electron_tube;Elektronenröhre;24;;;;100
item;create:experience_nugget;Erfahrungsklumpen;256;;;;100
item;create:gearbox;Getriebe;64;;;;100
item;create:honeyed_apple;Honigapfel;16;;;;75
item;create:large_cogwheel;Großes Zahnrad;192;;;;100
item;create:limestone;Kalkstein;512;;;;100
item;create:mechanical_arm;Mechanischer Arm;16;;;;100
item;create:ochrum;Ockrum;512;;;;100
item;create:polished_rose_quartz;Rosenquartz;32;;;;100
item;create:precision_mechanism;Präzisionsgetriebe;32;;;;40
item;create:propeller;Propeller;24;;;;100
item;create:railway_casing;Zugrahmen;12;;;;100
item;create:scorchia;Scorchia;512;;;;100
item;create:scoria;Schlacke;512;;;;100
item;create:shaft;Welle;256;;;;100
item;create:steam_whistle;Dampfpfeife;24;;;;100
item;create:sweet_roll;Rosinenschnecke;16;;;;100
item;create:veridium;Veridium;512;;;;100
item;create:whisk;Rührstab;24;;;;100
item;create:zinc_ingot;Zink;128;;;;150
