type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
item;deeperdarker:bloom_berries;Bloom Berries;256;;;;75
item;deeperdarker:echo_log;Echo Log;256;;;;75
item;deeperdarker:echo_sapling;Echo Sappling;128;;;;75
item;deeperdarker:gloomslate;Gloomslate;2048;;;;75
item;deeperdarker:gloomy_cactus;Gloomy Cactus;64;;;;75
item;deeperdarker:resonarium;Resonarium;32;;;;75
item;deeperdarker:sculk_bone;Sculk Bone;32;;;;75
item;deeperdarker:sculk_gleam;Sculk Gleam;128;;;;75
item;deeperdarker:sculk_stone;Sculk Stone;2048;;;;75
item;deeperdarker:soul_crystal;Soul Crystal;4;;;;75
item;deeperdarker:soul_dust;Soul Dust;16;;;;75
item;deeperdarker:warden_carapace;Warden Carapce;1;;;;25
