type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
item;minecraft:acacia_log;Akazienstamm;512;;;;200
item;minecraft:acacia_sapling;Akaziensetzling;128;;;;100
item;minecraft:amethyst_block;Amethystblock;512;;;;100
item;minecraft:amethyst_cluster;Amethysthaufen;32;;;;100
item;minecraft:ancient_debris;Antiker Schrott;6;;;;100
item;minecraft:andesite;Andesite;1024;;;;100
item;minecraft:anvil;Amboss;16;;;;100
item;minecraft:apple;Apfel;96;;;;100
item;minecraft:arrow;Pfeil;512;;;;100
item;minecraft:azalea;Azalee;64;;;;100
item;minecraft:azalea_leaves;Azaleenlaub;128;;;;100
item;minecraft:baked_potato;Ofenkartoffel;256;;;;100
item;minecraft:bamboo;Bambus;512;;;;100
item;minecraft:barrel;Fass;128;;;;100
item;minecraft:basalt;Basalt;2048;;;;100
item;minecraft:beacon;Leuchtfeuer;1;;;;20
item;minecraft:beetroot;Rote Beete;256;;;;200
item;minecraft:big_dripleaf;Großes Tropfblad;64;;;;100
item;minecraft:birch_leaves;Birkenlaub;256;;;;100
item;minecraft:birch_log;Birkenstamm;512;;;;200
item;minecraft:birch_sapling;Birkensetzling;128;;;;100
item;minecraft:blackstone;Schwarzstein;512;;;;100
item;minecraft:blaze_rod;Lohenrute;32;;;;75
item;minecraft:bone;Knochen;128;;;;100
item;minecraft:bone;Knochen;128;;;;100
item;minecraft:book;Buch;256;;;;100
item;minecraft:bookshelf;Bücherregal;32;;;;100
item;minecraft:bread;Brot;128;;;;100
item;minecraft:bricks;Ziegelsteine;512;;;;100
item;minecraft:cake;Kuchen;8;;;;100
item;minecraft:calcite;Kalzit;128;;;;100
item;minecraft:calibrated_sculk_sensor;Kalibrierter Sculksensor;12;;;;50
item;minecraft:campfire;Lagerfeuer;128;;;;100
item;minecraft:candle;Kerze;128;;;;100
item;minecraft:carrot;Karotte;256;;;;200
item;minecraft:chain;Kette;192;;;;100
item;minecraft:chainmail_boots;Kettenstiefel;18;;;;100
item;minecraft:chainmail_chestplate;Kettenhemd;18;;;;100
item;minecraft:chainmail_helmet;Kettenhaube;18;;;;100
item;minecraft:chainmail_leggings;Kettenhose;18;;;;100
item;minecraft:charcoal;Holzkohle;128;;;;100
item;minecraft:cherry_leaves;Kirschlaub;256;;;;100
item;minecraft:cherry_log;Kirschstamm;512;;;;150
item;minecraft:cherry_sapling;Kirschsetzling;256;;;;100
item;minecraft:chest;Truhe;128;;;;100
item;minecraft:chorus_fruit;Chorous Frucht;64;;;;50
item;minecraft:clay;Lehm;512;;;;100
item;minecraft:coal;Kohle;128;;;;250
item;minecraft:coarse_dirt;Grobe Erde;256;;;;100
item;minecraft:cobbled_deepslate;Tiefenschiefer;2048;;;;200
item;minecraft:cobblestone;Bruchstein;2048;;;;250
item;minecraft:cobblestone;Stein;2048;;;;250
item;minecraft:cobweb;Spinnennetz;16;;;;100
item;minecraft:comparator;Komparator;32;;;;100
item;minecraft:cooked_beef;Steak;64;;;;100
item;minecraft:cooked_chicken;Gebratenes Hühnchen;64;;;;100
item;minecraft:cooked_cod;Gebratener Kabeljau;64;;;;100
item;minecraft:cooked_mutton;Gebratenes Hammelfleisch;64;;;;100
item;minecraft:cooked_porkchop;Gebratenes Schweinefleisch;64;;;;100
item;minecraft:cooked_rabbit;Gebratenes Kaninchen;64;;;;100
item;minecraft:cooked_salmon;Gebratener Lachs;64;;;;100
item;minecraft:cookie;Kekse;256;;;;100
item;minecraft:copper_ingot;Kupfer;192;;;;300
item;minecraft:cracked_stone_bricks;Rissige Steinziegel;256;;;;100
item;minecraft:crafting_table;Werkbank;256;;;;100
item;minecraft:creeper_head;Creeperschädel;1;;;;50
item;minecraft:crimson_stem;Karmesinstiel;256;;;;100
item;minecraft:dandelion;Löwenzahn;64;;;;100
item;minecraft:dark_oak_leaves;Schwarzeichenlaub;256;;;;100
item;minecraft:dark_oak_log;Schwarzeichenstamm;1536;;;;150
item;minecraft:dark_oak_sapling;Schwarzeichensetzling;128;;;;100
item;minecraft:daylight_detector;Tageslichtsensor;128;;;;100
item;minecraft:dead_bush;Toter Busch;128;;;;100
item;minecraft:diamond;Diamant;16;;;;100
item;minecraft:diamond_axe;Diamantaxt;6;;;;100
item;minecraft:diamond_boots;Diamantstiefel;6;;;;100
item;minecraft:diamond_chestplate;Diamantharnisch;6;;;;100
item;minecraft:diamond_helmet;Diamanthelm;6;;;;100
item;minecraft:diamond_hoe;Diamanthacke;6;;;;100
item;minecraft:diamond_leggings;Diamantbeinschutz;6;;;;100
item;minecraft:diamond_pickaxe;Diamantspitzhacke;6;;;;100
item;minecraft:diamond_shovel;Diamantschaufel;6;;;;100
item;minecraft:diamond_sword;Diamantschwert;6;;;;100
item;minecraft:diorite;Diorit;1024;;;;100
item;minecraft:dirt;Erde;1024;;;;100
item;minecraft:dirt;Erde;2048;;;;250
item;minecraft:dispenser;Werfer;192;;;;100
item;minecraft:dragon_breath;Drachenatem;32;;;;50
item;minecraft:dragon_head;Drachenkopf;1;;;;50
item;minecraft:dripstone_block;Tropfstesinblock;64;;;;100
item;minecraft:echo_shard;Echo Scherbe;16;;;;50
item;minecraft:egg;Ei;64;;;;100
item;minecraft:elytra;Elytra;1;;;;20
item;minecraft:emerald;Smaragd;64;;;;100
item;minecraft:enchanting_table;Verzauberungstisch;8;;;;75
item;minecraft:end_crystal;Enderkristall;16;;;;50
item;minecraft:end_rod;Endstab;16;;;;50
item;minecraft:end_stone;Endstein;1024;;;;100
item;minecraft:ender_chest;Endertruhe;10;;;;100
item;minecraft:ender_eye;Enderauge;8;;;;50
item;minecraft:feather;Feder;64;;;;100
item;minecraft:feather;Feder;64;;;;100
item;minecraft:fern;Farn;128;;;;100
item;minecraft:firework_rocket;Feuerwerksrakete;128;;;;100
item;minecraft:flower_pot;Blumentopf;32;;;;100
item;minecraft:flowering_azalea;Blühende Azalee;64;;;;100
