type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
kill;minecraft:blaze;;;;;;100
kill;minecraft:bogged;;;;;;100
kill;minecraft:breeze;;;;;;100
kill;minecraft:cave_spider;;;;;;100
kill;minecraft:creeper;;;;;;100
kill;minecraft:drowned;;;;;;100
kill;minecraft:elder_guardian;;;;;;100
kill;minecraft:ender_dragon;;;;;;100
kill;minecraft:enderman;;;;;;100
kill;minecraft:endermite;;;;;;100
kill;minecraft:evoker;;;;;;100
kill;minecraft:ghast;;;;;;100
kill;minecraft:guardian;;;;;;100
kill;minecraft:hoglin;;;;;;100
kill;minecraft:husk;;;;;;100
kill;minecraft:magma_cube;;;;;;100
kill;minecraft:phantom;;;;;;100
kill;minecraft:piglin_brute;;;;;;100
kill;minecraft:piglin;;;;;;100
kill;minecraft:pillager;;;;;;100
kill;minecraft:ravager;;;;;;100
kill;minecraft:shulker;;;;;;100
kill;minecraft:silverfish;;;;;;100
kill;minecraft:skeleton_horse;;;;;;100
kill;minecraft:skeleton;;;;;;100
kill;minecraft:slime;;;;;;100
kill;minecraft:spider;;;;;;100
kill;minecraft:stray;;;;;;100
kill;minecraft:strider;;;;;;100
kill;minecraft:vex;;;;;;100
kill;minecraft:vindicator;;;;;;100
kill;minecraft:wandering_trader;;;;;;100
kill;minecraft:warden;;;;;;100
kill;minecraft:witch;;;;;;100
kill;minecraft:wither_skeleton;;;;;;100
kill;minecraft:wither;;;;;;100
kill;minecraft:zoglin;;;;;;100
kill;minecraft:zombie;;;;;;100
kill;minecraft:zombified_piglin;;;;;;100
