type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;create:andesite_casing;;32;128;6;12;100;0.1
item;create:asurine;;128;512;6;12;100;
item;create:belt_connector;;16;64;6;12;100;0.1
item;create:blaze_burner;;8;32;6;12;100;0.1
item;create:brass_casing;;16;64;6;12;100;0.2
item;create:brass_hand;;8;32;6;12;100;0.2
item;create:brass_ingot;;32;128;6;12;100;0.15
item;create:cogwheel;;256;1024;6;12;100;0.1
item;create:crimsite;;128;512;6;12;100;
item;create:crushing_wheel;;4;12;6;12;100;0.3
item;create:electron_tube;;16;32;6;12;100;0.25
item;create:experience_nugget;;128;512;6;12;100;0.1
item;create:gearbox;;32;128;6;12;100;0.1
item;create:honeyed_apple;;16;64;6;12;100;0.25
item;create:large_cogwheel;;128;512;6;12;100;0.1
item;create:limestone;;128;1024;6;12;100;
item;create:mechanical_arm;;6;18;6;12;100;0.3
item;create:ochrum;;128;512;6;12;100;
item;create:polished_rose_quartz;;16;64;6;12;100;
item;create:precision_mechanism;;8;16;6;12;100;0.4
item;create:propeller;;16;32;6;12;100;0.2
item;create:railway_casing;;8;32;6;12;100;0.4
item;create:scorchia;;128;512;6;12;100;
item;create:scoria;;128;512;6;12;100;
item;create:shaft;;256;1024;6;12;100;0.05
item;create:steam_whistle;;16;32;6;12;100;0.1
item;create:sweet_roll;;16;64;6;12;100;0.1
item;create:veridium;;128;512;6;12;100;
item;create:whisk;;16;32;6;12;100;0.1
item;#c:ingots/zinc;;64;256;6;12;250;
