type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
item;deeperdarker:bloom_berries;Bloom Berries;125;512;6;12;20
item;deeperdarker:echo_log;Echo Log;125;512;6;12;20
item;deeperdarker:echo_sapling;Echo Sappling;32;128;6;12;20
item;deeperdarker:gloomslate;Gloomslate;1024;4096;6;12;20
item;deeperdarker:gloomy_cactus;Gloomy Cactus;32;128;6;12;20
item;deeperdarker:resonarium;Resonarium;16;64;6;12;20
item;deeperdarker:sculk_bone;Sculk Bone;16;64;6;12;20
item;deeperdarker:sculk_gleam;Sculk Gleam;64;256;6;12;20
item;deeperdarker:sculk_stone;Sculk Stone;1024;4096;6;12;20
item;deeperdarker:soul_crystal;Soul Crystal;2;8;6;12;20
item;deeperdarker:soul_dust;Soul Dust;8;32;6;12;20
item;deeperdarker:warden_carapace;Warden Carapce;1;2;8;16;15
