type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;immersiveengineering:hemp_fiber;Industriehanffasern;32;128;;;100;
item;immersiveengineering:component_electronic;Electronic Component;16;64;;;100;0.5
item;immersiveengineering:hemp_fabric;Rebustes Gewebe;8;32;;;100;0.1
item;immersiveengineering:component_iron;Mechanische Eisenkomponente;16;64;;;100;0.2
item;immersiveengineering:component_steel;Mechanische Stahlkomponente;8;48;;;100;0.4
item;immersiveengineering:thermoelectric_generator;Thermoelektrischer Generator;6;24;;;100;0.25
item;immersiveengineering:dynamo;Kinetischer Dynamo;8;32;;;100;0.15
item;immersiveengineering:heavy_engineering;Schwerer Ingineursbaustein;6;32;;;100;0.5
item;immersiveengineering:light_engineering;Leichter Ingineursbaustein;8;48;;;100;0.45
item;immersiveengineering:windmill;Windmühle;8;16;;;100;0.25
item;immersiveengineering:watermill;Wasserrad;8;24;;;100;0.2
item;immersiveengineering:charging_station;Ladestation;8;24;;;100;0.3
item;immersiveengineering:cloche;Gartenglocke;8;32;;;100;0.25
item;immersiveengineering:capacitor_lv;LV-Kondensator;8;32;;;100;0.2
item;immersiveengineering:capacitor_mv;MV-Kondensator;6;24;;;100;0.4
item;immersiveengineering:capacitor_hv;HV-Kondensator;4;16;;;100;0.6
