type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;born_in_chaos_v1:armor_plate_from_dark_metal;;1;2;7;14;100;0.2
item;born_in_chaos_v1:corpse_maggot;;32;128;4;8;100;
item;born_in_chaos_v1:dark_metal_ingot;;3;6;6;12;100;0.1
item;born_in_chaos_v1:dark_rod;;8;16;6;12;100;0.05
item;born_in_chaos_v1:ethereal_spirit;;32;64;5;10;100;0.05
item;born_in_chaos_v1:fire_dust;;8;16;6;12;100;0.05
item;born_in_chaos_v1:fused_bone;;16;32;6;12;100;0.05
item;born_in_chaos_v1:gnawed_bones;;16;32;6;12;100;0.05
item;born_in_chaos_v1:mesh_door;;1;3;6;12;100;0.1
item;born_in_chaos_v1:monster_skin;;32;64;6;12;100;
item;born_in_chaos_v1:orbofthe_summoner;;2;8;6;12;100;0.25
item;born_in_chaos_v1:phantom_powder;;8;16;6;12;100;0.2
item;born_in_chaos_v1:seedof_chaos;;16;32;6;12;100;0.1
item;born_in_chaos_v1:shattered_skull;;4;8;6;12;100;0.3
item;born_in_chaos_v1:wood_splitter_axe;;1;3;6;12;100;0.2
item;born_in_chaos_v1:staff_of_magic_arrows;;1;4;7;14;75;0.25
item;born_in_chaos_v1:trident_hayfork;;1;3;6;12;75;0.2
item;born_in_chaos_v1:fangofthe_hound_leader;;1;2;7;14;50;0.3
item;born_in_chaos_v1:lifestealer_skull;;1;2;7;14;50;0.3
item;born_in_chaos_v1:nightmare_claw;;2;4;7;14;50;0.3
item;born_in_chaos_v1:nightmare_stalker_skull;;1;2;7;14;50;0.3
