type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;egg;eggChance;minProgress
kill;creeperoverhaul:jungle_creeper;;2;16;;;10;;;
kill;creeperoverhaul:bamboo_creeper;;2;16;;;10;;;
kill;creeperoverhaul:desert_creeper;;2;16;;;10;;;
kill;creeperoverhaul:badlands_creeper;;2;16;;;10;;;
kill;creeperoverhaul:hills_creeper;;2;16;;;10;;;
kill;creeperoverhaul:savannah_creeper;;2;16;;;10;;;
kill;creeperoverhaul:mushroom_creeper;;2;16;;;10;;;
kill;creeperoverhaul:swamp_creeper;;2;16;;;10;;;
kill;creeperoverhaul:dripstone_creeper;;2;16;;;10;;;
kill;creeperoverhaul:cave_creeper;;2;16;;;10;;;
kill;creeperoverhaul:dark_oak_creeper;;2;16;;;10;;;
kill;creeperoverhaul:spruce_creeper;;2;16;;;10;;;
kill;creeperoverhaul:beach_creeper;;2;16;;;10;;;
kill;creeperoverhaul:snowy_creeper;;2;16;;;10;;;
kill;creeperoverhaul:ocean_creeper;;2;16;;;10;;;
kill;creeperoverhaul:birch_creeper;;2;16;;;10;;;
