type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;tomato;;32;128;6;12;100;
item;onion;;32;128;6;12;100;
item;cabbage;;32;128;6;12;100;
item;corn;;32;128;6;12;100;
item;bell_pepper;;32;128;6;12;100;
item;garlic;;32;128;6;12;100;
item;soybean;;32;128;6;12;100;
item;tomato_juice;;32;256;6;12;100;0.05
item;cranberry_juice;;32;256;6;12;100;0.05
item;pecan_pie;;8;64;6;12;100;0.1
item;cherry_pie;;8;64;6;12;100;0.1
item;coffee;;16;96;6;12;100;0.15
item;fruit_salad;;16;64;6;12;100;0.15
item;tofuburger;;16;64;6;12;100;0.2
item;taco;;8;48;6;12;100;0.2
item;figgy_pudding;;8;48;6;12;100;0.2
item;sushi;;8;64;6;12;100;0.1
item;beef_wellington;;8;48;6;12;100;0.3
item;toast;;16;200;6;12;100;0.1
item;fruit_cake;;8;48;6;12;100;0.4
item;tostada;;8;64;6;12;100;0.2
item;fajitas;;8;48;6;12;100;0.2
item;supreme_pizza;;8;48;6;12;100;0.4
item;macaron;;16;64;6;12;100;0.3
item;croque_madame;;8;48;6;12;100;0.3
