type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;egg;eggChance;minProgress;groups
kill;endermanoverhaul:badlands_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:cave_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:crimson_forest_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:dark_oak_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:desert_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:end_enderman;;6;20;;;10;;;0.5;
kill;endermanoverhaul:end_islands_enderman;;6;20;;;10;;;0.5;
kill;endermanoverhaul:flower_fields_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:ice_spikes_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:mushroom_fields_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:nether_wastes_enderman;;6;20;;;10;;;0.25;
kill;endermanoverhaul:coral_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:savanna_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:snowy_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:soulsand_valley_enderman;;6;20;;;10;;;0.25;
kill;endermanoverhaul:swamp_enderman;;6;20;;;10;;;0.1;
kill;endermanoverhaul:warped_forest_enderman;;6;20;;;10;;;0.25;
kill;endermanoverhaul:windswept_hills_enderman;;6;20;;;10;;;0.1;
