type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;hemp_fiber;;32;128;;;100;
item;immersiveengineering:component_electronic;;16;64;;;100;0.5
item;immersiveengineering:hemp_fabric;;8;32;;;100;0.1
item;immersiveengineering:component_iron;;16;64;;;100;0.2
item;immersiveengineering:component_steel;;8;48;;;100;0.4
item;immersiveengineering:thermoelectric_generator;;6;24;;;100;0.25
item;immersiveengineering:dynamo;;8;32;;;100;0.15
item;immersiveengineering:heavy_engineering;;6;32;;;100;0.5
item;immersiveengineering:light_engineering;;8;48;;;100;0.45
item;immersiveengineering:windmill;;8;16;;;100;0.25
item;immersiveengineering:watermill;;8;24;;;100;0.2
item;immersiveengineering:charging_station;;8;24;;;100;0.3
item;immersiveengineering:cloche;;8;32;;;100;0.25
item;immersiveengineering:capacitor_lv;;8;32;;;100;0.2
item;immersiveengineering:capacitor_mv;;6;24;;;100;0.4
item;immersiveengineering:capacitor_hv;;4;16;;;100;0.6
