type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;minecolonies:gate_iron;;8;32;6;12;25;0.7
item;minecolonies:gate_wood;;8;32;6;12;25;0.6
item;minecolonies:plate_armor_chest;;2;8;6;12;25;0.5
item;minecolonies:plate_armor_helmet;;2;8;6;12;25;0.5
item;minecolonies:plate_armor_helmet;;2;8;6;12;25;0.5
item;minecolonies:plate_armor_legs;;2;8;6;12;25;0.5
item;minecolonies:chiefsword;;1;4;6;12;50;0.3
item;minecolonies:ancienttome;;1;6;6;12;50;0.3
item;minecolonies:scroll_buff;;1;6;6;12;50;0.2
item;minecolonies:iron_scimitar;;1;4;6;12;50;0.3
item;minecolonies:pharaoscepter;;1;4;6;12;50;0.3
item;minecolonies:spear;;1;4;6;12;50;0.3
