type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;twilightforest:canopy_log;;64;512;;;100;0.1
item;twilightforest:twilight_oak_sapling;;8;16;;;100;0.1
item;minecraft:mangrove_log;;64;512;;;100;0.1
item;twilightforest:mangrove_sapling;;16;32;;;100;0.1
item;twilightforest:dark_log;;64;512;;;100;0.1
item;twilightforest:darkwood_sapling;;16;32;;;100;0.1
item;twilightforest:raven_feather;;16;32;;;100;0.1
item;twilightforest:uncrafting_table;;1;4;8;16;75;0.1
item;twilightforest:knightmetal_ingot;;8;32;;;100;0.1
item;twilightforest:torchberries;;8;64;;;100;0.1
item;twilightforest:firefly;;8;64;;;100;0.1
item;twilightforest:cicada;;8;64;;;100;0.1
item;twilightforest:ironwood_ingot;;8;32;;;100;0.1
item;twilightforest:liveroot;;8;32;;;100;0.1
