type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;egg;eggChance;minProgress
kill;twilightforest:alpha_yeti;;;;;;50;;;0.2
kill;twilightforest:armored_giant;;;;;;50;;;0.2
kill;twilightforest:bighorn_sheep;;;;;;;;;
kill;twilightforest:blockchain_goblin;;;;;;50;;;0.2
kill;twilightforest:boar;;;;;;50;;;0.2
kill;twilightforest:carminite_broodling;;;;;;50;;;0.2
kill;twilightforest:carminite_ghastguard;;;;;;50;;;0.2
kill;twilightforest:carminite_ghastling;;;;;;50;;;0.2
kill;twilightforest:carminite_golem;;;;;;50;;;0.2
kill;twilightforest:death_tome;;;;;;50;;;0.2
kill;twilightforest:deer;;;;;;50;;;0.2
kill;twilightforest:dwarf_rabbit;;;;;;;;;
kill;twilightforest:fire_beetle;;;;;;50;;;0.2
kill;twilightforest:giant_miner;;;;;;50;;;0.2
kill;twilightforest:hedge_spider;;;;;;50;;;0.2
kill;twilightforest:helmet_crab;;;;;;50;;;0.2
kill;twilightforest:hostile_wolf;;;;;;50;;;0.2
kill;twilightforest:hydra;;;;;;50;;;0.2
kill;twilightforest:ice_crystal;;;;;;50;;;0.2
kill;twilightforest:king_spider;;;;;;50;;;0.2
kill;twilightforest:knight_phantom;;;;;;50;;;0.2
kill;twilightforest:kobold;;;;;;50;;;0.2
kill;twilightforest:lich;;;;;;50;;;0.2
kill;twilightforest:lower_goblin_knight;;;;;;50;;;0.2
kill;twilightforest:maze_slime;;;;;;50;;;0.2
kill;twilightforest:minoshroom;;;;;;50;;;0.2
kill;twilightforest:minotaur;;;;;;50;;;0.2
kill;twilightforest:mist_wolf;;;;;;50;;;0.2
kill;twilightforest:mosquito_swarm;;;;;;50;;;0.2
kill;twilightforest:naga;;;;;;50;;;0.2
kill;twilightforest:penguin;;;;;;;;;
kill;twilightforest:pinch_beetle;;;;;;50;;;0.2
kill;twilightforest:quest_ram;;;;;;;;;
kill;twilightforest:raven;;;;;;;;;
kill;twilightforest:redcap;;;;;;50;;;0.2
kill;twilightforest:redcap_sapper;;;;;;50;;;0.2
kill;twilightforest:skeleton_druid;;;;;;50;;;0.2
kill;twilightforest:slime_beetle;;;;;;50;;;0.2
kill;twilightforest:snow_guardian;;;;;;50;;;0.2
kill;twilightforest:snow_queen;;;;;;50;;;0.2
kill;twilightforest:squirrel;;;;;;;;;
kill;twilightforest:stable_ice_core;;;;;;50;;;0.2
kill;twilightforest:swarm_spider;;;;;;50;;;0.2
kill;twilightforest:tiny_bird;;;;;;;;;
kill;twilightforest:towerwood_borer;;;;;;50;;;0.2
kill;twilightforest:troll;;;;;;50;;;0.2
kill;twilightforest:unstable_ice_core;;;;;;;;;
kill;twilightforest:ur_ghast;;;;;;50;;;0.2
kill;twilightforest:winter_wolf;;;;;;50;;;0.2
kill;wraith;;;;;;30;;;0.2
kill;twilightforest:yeti;;;;;;50;;;0.2
