type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
item;irons_spellbooks:common_ink;;5;18;6;12;100
item;irons_spellbooks:uncommon_ink;;4;15;6;12;100
item;irons_spellbooks:rare_ink;;3;12;6;12;100
item;irons_spellbooks:epic_ink;;2;9;7;14;100
item;irons_spellbooks:legendary_ink;;1;3;8;16;80
item;irons_spellbooks:tarnished_helmet;;1;4;6;12;100
item;irons_spellbooks:mithril_ingot;;1;4;6;12;100
item;irons_spellbooks:mithril_scrap;;2;8;6;12;100
item;irons_spellbooks:arcane_ingot;;4;16;6;12;100
item;irons_spellbooks:icy_fang;;16;32;6;12;100
item;irons_spellbooks:cinder_essence;;8;32;6;12;100
item;irons_spellbooks:frozen_bone;;8;32;6;12;100
item;irons_spellbooks:dragonskin;;8;16;6;12;100
item;irons_spellbooks:lightning_bottle;;6;16;6;12;100
item;irons_spellbooks:blood_vial;;16;32;6;12;100
item;irons_spellbooks:ice_venom_vial;;6;16;6;12;100
item;irons_spellbooks:divine_pearl;;16;32;6;12;100
item;irons_spellbooks:magic_cloth;;8;32;6;12;100
item;irons_spellbooks:mana_ring;;1;4;6;12;100
item;irons_spellbooks:amethyst_resonance_charm;;1;4;6;12;100
item;irons_spellbooks:concentration_amulet;;1;4;6;12;100
item;irons_spellbooks:greater_conjurers_talisman;;1;4;6;12;100
item;irons_spellbooks:conjurers_talisman;;1;4;6;12;100
item;irons_spellbooks:poisonward_ring;;1;4;6;12;100
item;irons_spellbooks:frostward_ring;;1;4;6;12;100
item;irons_spellbooks:fireward_ring;;1;4;6;12;100
item;irons_spellbooks:emerald_stoneplate_ring;;1;4;6;12;100
item;irons_spellbooks:heavy_chain_necklace;;1;4;6;12;100
item;irons_spellbooks:cast_time_ring;;1;4;6;12;100
item;irons_spellbooks:cooldown_ring;;1;4;6;12;100
item;irons_spellbooks:lesser_spell_slot_upgrade;;1;8;6;12;100
item;irons_spellbooks:expulsion_ring;;1;4;6;12;100
item;irons_spellbooks:upgrade_orb;;1;3;6;12;100
item;irons_spellbooks:hogskin;;8;32;6;12;100
item;irons_spellbooks:bloody_vellum;;8;32;6;12;100
item;irons_spellbooks:arcane_essence;;8;32;6;12;100
item;irons_spellbooks:ancient_knowledge_fragment;;1;3;8;16;100
item;irons_spellbooks:blank_rune;;2;8;6;12;100
item;irons_spellbooks:scroll;;4;16;6;12;100
