type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;egg;eggChance;minProgress
kill;luminous_beasts:baby_phoenix;;;;;;;;;
kill;luminous_beasts:bone_stalker;;;;;;;;;
kill;luminous_beasts:crimson_spitter;;;;;;;;;
kill;luminous_beasts:ember;;;;;;;;;
kill;luminous_beasts:gilded_ent;;;;;;;;;
kill;luminous_beasts:hermit_king;;;;;;;;;
kill;luminous_beasts:horseless_headsman;;;;;;;;;
kill;luminous_beasts:mummy;;;;;;;;;
kill;luminous_beasts:phoenixbird;;;;;;;;;
kill;luminous_beasts:piglin_executioner;;;;;;;;;
kill;luminous_beasts:pumpkin_minion;;;;;;;;;
kill;luminous_beasts:rare_baby_phoenix;;;;;;;;;
kill;luminous_beasts:rare_bone_stalker;;;;;;;;;
kill;luminous_beasts:rare_crimson_spitter;;;;;;;;;
kill;luminous_beasts:rare_executioner;;;;;;;;;
kill;luminous_beasts:rare_hermit_king;;;;;;;;;
kill;luminous_beasts:rare_mummy;;;;;;;;;
kill;luminous_beasts:rare_phoenix_bird;;;;;;;;;
kill;luminous_beasts:rare_sea_viper;;;;;;;;;
kill;luminous_beasts:rare_stalker;;;;;;;;;
kill;luminous_beasts:rare_tree_ent;;;;;;;;;
kill;luminous_beasts:rare_vile_gator;;;;;;;;;
kill;luminous_beasts:rare_yeti;;;;;;;;;
kill;luminous_beasts:sand_crab;;;;;;;;;
kill;luminous_beasts:scarecrow_minion;;;;;;;;;
kill;luminous_beasts:sea_viper;;;;;;;;;
kill;luminous_beasts:soul_ember;;;;;;;;;
kill;luminous_beasts:soul_furnace;;;;;;;;;
kill;luminous_beasts:stalker;;;;;;;;;
kill;luminous_beasts:the_furnace;;;;;;;;;
kill;luminous_beasts:the_scarecrow;;;;;;;;;
kill;luminous_beasts:tree_ent;;;;;;;;;
kill;luminous_beasts:vile_gator;;;;;;;;;
kill;luminous_beasts:yeti;;;;;;;;;
kill;luminous_monsters:cherry_zombie;;8;64;6;12;75;;;
kill;luminous_monsters:cherry_zombie;;8;64;6;12;75;;;
kill;luminous_monsters:crimson_walker;;2;16;6;12;75;;;
kill;luminous_monsters:dark_oak_skeleton;;8;64;6;12;75;;;
kill;luminous_monsters:dark_oak_zombie;;8;64;6;12;75;;;
kill;luminous_monsters:glacial_skeleton;;8;64;6;12;75;;;
kill;luminous_monsters:glacial_zombie;;8;64;6;12;75;;;
kill;luminous_monsters:hollow;;2;16;6;12;75;;;
kill;luminous_monsters:miner_skeleton;;8;64;6;12;75;;;
kill;luminous_monsters:miner_zombie;;8;64;6;12;75;;;
kill;luminous_monsters:revenant;;2;16;6;12;75;;;
kill;luminous_monsters:savanna_skeleton;;8;64;6;12;75;;;
kill;luminous_monsters:savanna_zombie;;8;64;6;12;75;;;
kill;luminous_monsters:sunken;;8;64;6;12;75;;;
kill;luminous_monsters:swamp_skeleton;;8;64;6;12;75;;;
kill;luminous_monsters:swamp_zombie;;8;64;6;12;75;;;
kill;luminous_nether:basalt_executioner;;;;;;;;;
kill;luminous_nether:crimson_walker;;8;64;6;12;75;;;
kill;luminous_nether:cultist_archer;;8;64;6;12;75;;;
kill;luminous_nether:cultist_rider;;8;64;6;12;75;;;
kill;luminous_nether:ember;;;;;;;;;
kill;luminous_nether:gilded_cultist;;;;;;;;;
kill;luminous_nether:glider;;;;;;;;;
kill;luminous_nether:guzzleghast;;8;64;6;12;75;;;
kill;luminous_nether:mushlin_bumper;;8;32;6;12;75;;;
kill;luminous_nether:mushlin_king_2;;;;;;;;;
kill;luminous_nether:mushlin_king_3;;;;;;;;;
kill;luminous_nether:mushlin_king;;;;;;;;;
kill;luminous_nether:piglin_cultist_leader;;2;8;7;14;50;;0.05;
kill;luminous_nether:piglin_cultist;;8;64;6;12;75;;;
kill;luminous_nether:piglin_executioner_2;;;;;;;;;
kill;luminous_nether:piglin_executioner_3;;;;;;;;;
kill;luminous_nether:piglin_executioner;;;;;;;;;
kill;luminous_nether:piglin_ghost;;;;;;;;;
kill;luminous_nether:poltergeist;;;;;;;;;
kill;luminous_nether:soul_ember;;;;;;;;;
kill;luminous_nether:soul_furnace;;;;;;;;;
kill;luminous_nether:spirit;;8;32;6;12;75;;;
kill;luminous_nether:the_furnace_2;;;;;;;;;
kill;luminous_nether:the_furnace_3;;;;;;;;;
kill;luminous_nether:the_furnace;;;;;;;;;
kill;luminous_nether:warped_king;;;;;;;;;
kill;luminous_nether:zombie_piglin_cultist_leader;;2;8;7;14;50;;0.05;
kill;luminous_nether:zombie_piglin_cultist;;8;32;6;12;75;;;
