type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;minecolonies:gate_iron;Eisentor;8;32;6;12;25;0.7
item;minecolonies:gate_wood;Holztor;8;32;6;12;25;0.6
item;minecolonies:plate_armor_chest;Plattenpanzer;2;8;6;12;25;0.5
item;minecolonies:plate_armor_helmet;Plattenhelm;2;8;6;12;25;0.5
item;minecolonies:plate_armor_helmet;Plattenhelm;2;8;6;12;25;0.5
item;minecolonies:plate_armor_legs;Plattenhose;2;8;6;12;25;0.5
item;minecolonies:chiefsword;Häuptlingsschwert;1;4;6;12;50;0.3
item;minecolonies:ancienttome;Antiker Wälzer;1;6;6;12;50;0.3
item;minecolonies:scroll_buff;Heilige Schriftrolle der Regeneration;1;6;6;12;50;0.2
item;minecolonies:iron_scimitar;Eisensäbel;1;4;6;12;50;0.3
item;minecolonies:pharaoscepter;Pharao Zepter;1;4;6;12;50;0.3
item;minecolonies:spear;Speer;1;4;6;12;50;0.3
