type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;egg;eggChance;minProgress
kill;twilightforest:alpha_yeti;;1;2;16;24;10;;-1;0.4
kill;twilightforest:armored_giant;;;;;;;;;
kill;twilightforest:bighorn_sheep;;;;;;;;;
kill;twilightforest:blockchain_goblin;;8;32;;;50;;;0.2
kill;twilightforest:boar;;;;;;;;;
kill;twilightforest:carminite_broodling;;8;16;;;50;;;0.3
kill;twilightforest:carminite_ghastguard;;8;16;;;50;;;0.3
kill;twilightforest:carminite_ghastling;;8;16;;;50;;;0.3
kill;twilightforest:carminite_golem;;2;8;;;50;;;0.3
kill;twilightforest:death_tome;;8;32;;;50;;;0.2
kill;twilightforest:deer;;;;;;;;;
kill;twilightforest:dwarf_rabbit;;;;;;;;;
kill;twilightforest:fire_beetle;;8;32;;;50;;;0.2
kill;twilightforest:giant_miner;;;;;;;;;
kill;twilightforest:hedge_spider;;8;64;;;50;;;0.2
kill;twilightforest:helmet_crab;;8;32;;;50;;;0.2
kill;twilightforest:hostile_wolf;;8;32;;;50;;;0.2
kill;twilightforest:hydra;;1;2;16;24;10;;-1;0.3
kill;twilightforest:ice_crystal;;;;;;;;;
kill;twilightforest:king_spider;;;;;;;;;
kill;twilightforest:knight_phantom;;8;16;;;50;;;0.2
kill;twilightforest:kobold;;8;32;;;50;;;0.2
kill;twilightforest:lich;;1;2;16;24;10;;-1;0.2
kill;twilightforest:lower_goblin_knight;;8;32;;;50;;;0.2
kill;twilightforest:maze_slime;;8;32;;;50;;;0.2
kill;twilightforest:minoshroom;;;;;;;;;
kill;twilightforest:minotaur;;1;2;16;24;10;;;0.2
kill;twilightforest:mist_wolf;;;;;;;;;
kill;twilightforest:mosquito_swarm;;8;32;;;50;;;0.2
kill;twilightforest:naga;;1;2;16;24;10;;-1;0.2
kill;twilightforest:penguin;;;;;;;;;
kill;twilightforest:pinch_beetle;;8;32;;;50;;;0.2
kill;twilightforest:quest_ram;;;;;;;;;
kill;twilightforest:raven;;;;;;;;;
kill;twilightforest:redcap;;8;32;;;50;;;0.2
kill;twilightforest:redcap_sapper;;8;24;;;50;;;0.2
kill;twilightforest:skeleton_druid;;8;16;;;50;;;0.2
kill;twilightforest:slime_beetle;;8;32;;;50;;;0.2
kill;twilightforest:snow_guardian;;8;16;;;50;;;0.2
kill;twilightforest:snow_queen;;1;2;16;24;10;;-1;0.2
kill;twilightforest:squirrel;;;;;;;;;
kill;twilightforest:stable_ice_core;;;;;;;;;
kill;twilightforest:swarm_spider;;8;32;;;50;;;0.2
kill;twilightforest:tiny_bird;;;;;;;;;
kill;twilightforest:towerwood_borer;;;;;;;;;
kill;twilightforest:troll;;;;;;50;;;0.2
kill;twilightforest:unstable_ice_core;;;;;;;;;
kill;twilightforest:ur_ghast;;1;2;16;24;10;;-1;0.3
kill;twilightforest:winter_wolf;;;;;;;;;
kill;wraith;;8;16;;;30;;;0.2
kill;twilightforest:yeti;;8;32;;;50;;;0.2
