type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;minecraft:acacia_log;;512;1024;;;250;
item;minecraft:andesite;;512;1024;;;250;
item;minecraft:basalt;;1024;2048;;;250;0.1
item;minecraft:mangrove_log;;256;1024;;;250;0.1
item;minecraft:quartz;;128;512;;;250;0.25
item;minecraft:sand;;1024;4096;;;250;
item;minecraft:soul_sand;;512;2048;;;250;0.25
item;minecraft:terracotta;;256;768;;;250;
item;minecraft:torch;;512;1024;;;250;
item;minecraft:tuff;;256;1024;;;250;
item;minecraft:warped_stem;;128;512;;;250;0.25
item;minecraft:cherry_log;;512;2048;;;250;
item;minecraft:dark_oak_log;;1024;2048;;;250;
item;minecraft:lapis_lazuli;;64;256;;;250;0.05
item;minecraft:redstone;;128;512;;;250;0.05
item;minecraft:rotten_flesh;;32;256;;;250;
item;minecraft:birch_log;;256;1024;;;250;
item;minecraft:cobbled_deepslate;;1024;4096;;;250;0.05
item;minecraft:gravel;;512;2048;;;250;
item;minecraft:coal;;32;256;;;250;0.05
item;minecraft:cobblestone;;1024;4096;;;250;
item;minecraft:stone;;1024;4096;;;250;
item;minecraft:dirt;;512;2048;;;250;
item;minecraft:gold_ingot;;32;256;;;250;0.1
item;minecraft:jungle_log;;256;2048;;;250;
item;minecraft:copper_ingot;;64;768;;;250;0.05
item;minecraft:oak_log;;256;1536;;;250;
item;minecraft:spruce_log;;256;2048;;;250;
item;minecraft:iron_ingot;;64;512;;;250;0.05
item;minecraft:blackstone;;256;1024;;;150;0.25
item;minecraft:end_stone;;512;2048;;;150;0.5
item;minecraft:obsidian;;32;128;;;150;0.3
item;minecraft:beetroot;;128;512;;;150;
item;minecraft:carrot;;128;512;;;150;
item;minecraft:melon;;32;128;;;150;
item;minecraft:potato;;64;256;;;150;
item;minecraft:pumpkin;;32;128;;;150;
item;minecraft:wheat;;64;256;;;150;
item;minecraft:purpur_block;;128;256;;;100;0.5
item;minecraft:acacia_sapling;;64;256;;;100;
item;minecraft:amethyst_block;;64;512;;;100;0.25
item;minecraft:amethyst_cluster;;16;64;;;100;0.3
item;minecraft:ancient_debris;;2;10;;;100;0.4
item;minecraft:anvil;;8;32;;;100;0.15
item;minecraft:apple;;32;128;;;100;
item;minecraft:arrow;;256;1024;;;100;
item;minecraft:azalea;;64;128;;;100;0.1
item;minecraft:azalea_leaves;;128;256;;;100;0.1
item;minecraft:baked_potato;;128;512;;;100;
item;minecraft:bamboo;;256;1024;;;100;
item;minecraft:barrel;;32;256;;;100;
item;minecraft:big_dripleaf;;16;64;;;100;0.1
item;minecraft:birch_leaves;;256;512;;;100;
item;minecraft:birch_sapling;;64;256;;;100;
item;minecraft:bone;;48;512;;;100;
item;minecraft:book;;32;512;;;100;
item;minecraft:bookshelf;;32;64;;;100;0.05
item;minecraft:bread;;64;256;;;100;
item;minecraft:bricks;;128;512;;;100;0.05
item;minecraft:cake;;8;16;;;100;0.2
item;minecraft:calcite;;64;256;;;100;
item;minecraft:campfire;;64;256;;;100;
item;minecraft:candle;;16;256;;;100;0.15
item;minecraft:chain;;64;512;;;100;0.1
item;minecraft:chainmail_boots;;6;24;;;100;0.2
item;minecraft:chainmail_chestplate;;6;24;;;100;0.2
item;minecraft:chainmail_helmet;;6;24;;;100;0.2
item;minecraft:chainmail_leggings;;6;24;;;100;0.2
item;minecraft:charcoal;;64;512;;;100;
item;minecraft:cherry_leaves;;128;512;;;100;
item;minecraft:cherry_sapling;;64;256;;;100;
item;minecraft:chest;;64;256;;;100;
item;minecraft:clay;;256;2048;;;100;
item;minecraft:coarse_dirt;;128;1024;;;100;
item;minecraft:cobweb;;8;32;;;100;
item;minecraft:comparator;;16;64;;;100;0.25
item;minecraft:cooked_beef;;32;128;;;100;
item;minecraft:cooked_chicken;;32;128;;;100;
item;minecraft:cooked_cod;;32;128;;;200;
item;minecraft:cooked_mutton;;32;128;;;100;
item;minecraft:cooked_porkchop;;32;128;;;100;
item;minecraft:cooked_rabbit;;32;128;;;100;
item;minecraft:cooked_salmon;;32;128;;;200;
item;minecraft:cookie;;128;512;;;100;
item;minecraft:cracked_stone_bricks;;125;512;;;100;0.25
item;minecraft:crafting_table;;128;512;;;100;
item;minecraft:crimson_stem;;64;256;;;100;0.25
item;minecraft:dandelion;;32;128;;;100;
item;minecraft:dark_oak_leaves;;256;512;;;100;
item;minecraft:dark_oak_sapling;;64;256;;;100;
item;minecraft:daylight_detector;;32;256;;;100;0.25
item;minecraft:dead_bush;;32;512;;;100;
item;minecraft:diamond;;8;24;;;100;0.25
item;minecraft:diamond_axe;;2;8;;;100;0.3
item;minecraft:diamond_boots;;2;8;;;100;0.3
item;minecraft:diamond_chestplate;;2;8;;;100;0.3
item;minecraft:diamond_helmet;;2;8;;;100;0.3
item;minecraft:diamond_hoe;;2;8;;;100;0.3
item;minecraft:diamond_leggings;;2;8;;;100;0.3
item;minecraft:diamond_pickaxe;;2;8;;;100;0.3
item;minecraft:diamond_shovel;;2;8;;;100;0.3
item;minecraft:diamond_sword;;2;8;;;100;0.3
item;minecraft:diorite;;512;2048;;;300;
item;minecraft:dirt;;512;2048;;;300;
item;minecraft:dispenser;;16;64;;;100;0.15
item;minecraft:dripstone_block;;1;8;;;100;0.1
item;minecraft:egg;;8;128;;;200;
item;minecraft:emerald;;8;64;;;100;0.1
item;minecraft:ender_chest;;4;16;;;100;0.25
item;minecraft:feather;;32;128;;;100;
item;minecraft:fern;;32;256;;;100;
item;minecraft:firework_rocket;;32;256;;;100;0.15
item;minecraft:flower_pot;;32;128;;;100;
item;minecraft:flowering_azalea;;32;128;;;100;0.1
item;minecraft:flowering_azalea_leaves;;32;96;;;100;0.1
item;minecraft:furnace;;256;512;;;100;
item;minecraft:gilded_blackstone;;8;16;;;100;0.3
item;minecraft:glass;;256;1024;;;250;
item;minecraft:glow_ink_sac;;32;128;;;100;0.2
item;minecraft:glow_lichen;;32;256;;;100;0.2
item;minecraft:golden_axe;;4;24;;;100;0.25
item;minecraft:golden_boots;;4;24;;;100;0.25
item;minecraft:golden_carrot;;4;24;;;100;0.25
item;minecraft:golden_chestplate;;4;18;;;100;0.25
item;minecraft:golden_helmet;;4;24;;;100;0.25
item;minecraft:golden_hoe;;4;24;;;100;0.25
item;minecraft:golden_leggings;;4;20;;;100;0.25
item;minecraft:golden_pickaxe;;4;24;;;100;0.25
item;minecraft:golden_shovel;;4;24;;;100;0.25
item;minecraft:golden_sword;;4;24;;;100;0.25
item;minecraft:granite;;512;2048;;;100;
item;minecraft:grass;;32;256;;;200;
item;minecraft:grass_block;;64;512;;;100;
item;minecraft:gunpowder;;32;256;;;100;0.1
item;minecraft:honey_bottle;;16;64;;;100;0.15
item;minecraft:honeycomb;;16;64;;;100;0.15
item;minecraft:hopper;;1;8;;;100;0.15
item;minecraft:iron_axe;;8;28;;;100;0.15
item;minecraft:iron_boots;;8;28;;;100;0.15
item;minecraft:iron_chestplate;;8;24;;;100;0.15
item;minecraft:iron_helmet;;8;28;;;100;0.15
item;minecraft:iron_hoe;;8;28;;;100;0.15
item;minecraft:iron_leggings;;8;24;;;100;0.15
item;minecraft:iron_pickaxe;;8;28;;;100;0.15
item;minecraft:iron_shovel;;8;28;;;100;0.15
item;minecraft:iron_sword;;8;28;;;100;0.15
item;minecraft:jack_o_lantern;;16;64;;;100;0.1
item;minecraft:jungle_leaves;;64;512;;;100;
item;minecraft:jungle_sapling;;64;256;;;100;
item;minecraft:ladder;;256;1024;;;100;
item;minecraft:lantern;;64;512;;;100;
item;minecraft:lava_bucket;;16;32;;;100;0.15
item;minecraft:leather;;32;128;;;100;
item;minecraft:leather_boots;;6;16;;;100;
item;minecraft:leather_chestplate;;6;14;;;100;
item;minecraft:leather_helmet;;6;16;;;100;
item;minecraft:leather_leggings;;6;14;;;100;
item;minecraft:lily_pad;;16;64;;;100;
item;minecraft:magma_block;;64;256;;;100;0.2
item;minecraft:magma_cream;;32;256;;;100;0.2
item;minecraft:mangrove_leaves;;128;256;;;100;0.1
item;minecraft:mangrove_propagule;;32;128;;;100;0.1
item;minecraft:map;;16;64;;;100;0.15
item;minecraft:moss_block;;128;512;;;200;0.1
item;minecraft:moss_carpet;;128;512;;;100;0.1
item;minecraft:mossy_cobblestone;;128;512;;;100;0.1
item;minecraft:mossy_stone_bricks;;128;512;;;100;0.1
item;minecraft:mud;;256;1024;;;200;0.1
item;minecraft:name_tag;;2;8;;;100;0.2
