type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;egg;eggChance;minProgress;groups
kill;minecraft:blaze;;8;64;;;100;;;0.25;demons
kill;minecraft:breeze;;8;32;;;100;;;0.25;
kill;minecraft:creeper;;4;16;;;100;;;0.1;
kill;minecraft:drowned;;8;64;;;100;;;0.1;undead
kill;minecraft:elder_guardian;;1;3;32;48;75;;-1;0.5;
kill;minecraft:ender_dragon;;1;1;32;48;75;;-1;0.7;alien
kill;minecraft:enderman;;6;48;12;28;100;;;0.3;alien
kill;minecraft:endermite;;4;16;12;24;100;;;0.3;
kill;minecraft:evoker;;4;16;12;28;100;;;0.4;illager
kill;minecraft:ghast;;4;16;;;100;;;0.3;demons
kill;minecraft:guardian;;8;64;;;100;;;0.2;
kill;minecraft:hoglin;;8;64;;;100;;;0.25;demons
kill;minecraft:husk;;8;64;;;100;;;;undead
kill;minecraft:magma_cube;;16;128;;;100;;;0.25;demons
kill;minecraft:phantom;;6;32;12;28;100;;;0.15;alien
kill;minecraft:piglin_brute;;6;32;14;30;100;;;0.35;demons
kill;minecraft:piglin;;6;32;;;100;;;0.3;demons
kill;minecraft:pillager;;6;64;;;100;;;0.15;illager
kill;minecraft:ravager;;1;4;;;100;;;0.35;illager
kill;minecraft:shulker;;6;32;;;100;;;0.6;alien
kill;minecraft:silverfish;;8;128;;;100;;;;
kill;minecraft:skeleton_horse;;4;16;;;100;;;;undead
kill;minecraft:skeleton;;8;64;;;200;;;;undead
kill;minecraft:slime;;8;128;;;100;;;;
kill;minecraft:spider;;16;64;;;100;;;;spider
kill;minecraft:cave_spider;;16;64;;;100;;;;spider
kill;minecraft:stray;;8;64;;;100;;;0.15;undead
kill;minecraft:vindicator;;4;16;;;100;;;0.25;illager
kill;minecraft:wandering_trader;;1;1;16;32;100;;-1;;
kill;minecraft:warden;;1;2;32;64;100;;-1;0.7;
kill;minecraft:witch;;4;16;;;100;;;0.35;
kill;minecraft:wither_skeleton;;8;32;;;100;;;0.35;undead,demons
kill;minecraft:wither;;1;2;32;48;75;;-1;0.65;
kill;minecraft:zoglin;;8;16;;;100;;;0.4;undead,demons
kill;minecraft:zombie;;8;64;;;250;;;;undead
kill;minecraft:zombified_piglin;;8;64;;;100;;;;undead,demons
kill;*;;64;256;;;1500;;0.1;;
kill;minecraft:creaking;;4;8;;;75;;;0.35;
kill;§:undead;kubejs.mission.group.undead;16;96;;;600;;0.15;;
kill;§:spider;kubejs.mission.group.spider;16;64;;;350;;0.15;;
kill;§:illager;kubejs.mission.group.illager;8;48;;;250;;0.15;0.2;
kill;§:demons;kubejs.mission.group.demons;16;80;;;450;;0.15;0.2;
kill;§:alien;kubejs.mission.group.alien;16;80;;;250;;0.15;0.3;
